"Artist","EndDate","Period"
"Jacques Villon",1963,"Pop Art/Minimalism"
"Douglas Huebler",1997,"Postmodernism/Y2K Resurgence"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Max Bill",1994,"Postmodernism/Y2K Resurgence"
"Henri Matisse",1954,"Abstract Expressionism"
"André Masson",1987,"Postmodernism/Y2K Resurgence"
"Raoul Dufy",1953,"Abstract Expressionism"
"Roger Chastel",1981,"Postmodernism/Y2K Resurgence"
"Alfred Stieglitz",1946,"Abstract Expressionism"
"Felice Beato",1903,"Cubism/Futurism"
"Erich Heckel",1970,"Pop Art/Minimalism"
"Ian Hamilton Finlay",2006,"Contemporary Art"
"Robert Rauschenberg",2008,"Contemporary Art"
"Al Held",2005,"Contemporary Art"
"R. B. Kitaj",2007,"Contemporary Art"
"Carybé (Hector Bernabó)",1997,"Postmodernism/Y2K Resurgence"
"Pierre Roy",1950,"Abstract Expressionism"
"Michael Schmidt",2014,"Contemporary Art"
"John Sloan",1951,"Abstract Expressionism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Robert Michel",1983,"Postmodernism/Y2K Resurgence"
"David Octavius Hill",1870,"Realism/Impressionism"
"Marion Post Wolcott",1990,"Postmodernism/Y2K Resurgence"
"Francesco Cangiullo",1977,"Pop Art/Minimalism"
"Mariana Yampolsky",2002,"Contemporary Art"
"Cedric Price",2003,"Contemporary Art"
"Adja Yunkers",1983,"Postmodernism/Y2K Resurgence"
"Lewis Wickes Hine",1940,"Abstract Expressionism"
"Louise Bourgeois",2010,"Contemporary Art"
"Anni Albers",1994,"Postmodernism/Y2K Resurgence"
"William Gedney",1989,"Postmodernism/Y2K Resurgence"
"Käthe Kollwitz",1945,"Abstract Expressionism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Fritz Bühler",1963,"Pop Art/Minimalism"
"Kiyoshi Awazu",2009,"Contemporary Art"
"Pierre Bonnard",1947,"Abstract Expressionism"
"E. McKnight Kauffer",1954,"Abstract Expressionism"
"Walter Dexel",1973,"Pop Art/Minimalism"
"Dorothea Lange",1965,"Pop Art/Minimalism"
"Robert Frank",2019,"Contemporary Art"
"Roberto Matta",2002,"Contemporary Art"
"August Sander",1964,"Pop Art/Minimalism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Jackson Pollock",1956,"Abstract Expressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"Robert Indiana",2018,"Contemporary Art"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Patrick Caulfield",2005,"Contemporary Art"
"Roberto Matta",2002,"Contemporary Art"
"Richard Artschwager",2013,"Contemporary Art"
"Mario Prassinos",1985,"Postmodernism/Y2K Resurgence"
"Roderic O'Conor",1940,"Abstract Expressionism"
"Louise Bourgeois",2010,"Contemporary Art"
"Walt Kuhn",1949,"Abstract Expressionism"
"Amédée Ozenfant",1966,"Pop Art/Minimalism"
"Christian Boltanski",2021,"Contemporary Art"
"Raoul Dufy",1953,"Abstract Expressionism"
"Antonio Berni",1981,"Postmodernism/Y2K Resurgence"
"Antonio Saura",1998,"Postmodernism/Y2K Resurgence"
"Louis Marcoussis",1941,"Abstract Expressionism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Eadweard J. Muybridge",1904,"Cubism/Futurism"
"Ivan LeLorraine Albright",1983,"Postmodernism/Y2K Resurgence"
"Charles Sheeler",1965,"Pop Art/Minimalism"
"Antonio Frasconi",2013,"Contemporary Art"
"James Ensor",1949,"Abstract Expressionism"
"Maurice de Vlaminck",1958,"Abstract Expressionism"
"André Derain",1954,"Abstract Expressionism"
"André Dunoyer de Segonzac",1974,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Maurice Denis",1943,"Abstract Expressionism"
"Jean Dubuffet",1985,"Postmodernism/Y2K Resurgence"
"Otto Dix",1969,"Pop Art/Minimalism"
"Ludwig Mies van der Rohe",1969,"Pop Art/Minimalism"
"Pablo Picasso",1973,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Philip Guston",1980,"Postmodernism/Y2K Resurgence"
"Antonio Saura",1998,"Postmodernism/Y2K Resurgence"
"Carlos Mérida",1984,"Postmodernism/Y2K Resurgence"
"Ernest  Trova",2009,"Contemporary Art"
"Gabor Peterdi",2001,"Contemporary Art"
"Walker Evans",1975,"Pop Art/Minimalism"
"Michael Graves",2015,"Contemporary Art"
"Sameer Makarius",2009,"Contemporary Art"
"Max Ernst",1976,"Pop Art/Minimalism"
"Ellsworth Kelly",2015,"Contemporary Art"
"Oskar Schlemmer",1943,"Abstract Expressionism"
"Sonia Delaunay-Terk",1979,"Pop Art/Minimalism"
"Martin Kippenberger",1997,"Postmodernism/Y2K Resurgence"
"August Sander",1964,"Pop Art/Minimalism"
"August Sander",1964,"Pop Art/Minimalism"
"Alvin Lustig",1955,"Abstract Expressionism"
"Giorgio de Chirico",1978,"Pop Art/Minimalism"
"Norman Ives",1978,"Pop Art/Minimalism"
"Jules Pascin",1930,"Dada/Surrealism"
"Jean Charlot",1979,"Pop Art/Minimalism"
"Lawrence Weiner",2021,"Contemporary Art"
"Alfred Capel Cure",1896,"Realism/Impressionism"
"Eugène Atget",1927,"Dada/Surrealism"
"José Luis Cuevas",2017,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Henri Matisse",1954,"Abstract Expressionism"
"Dick Wray",2011,"Contemporary Art"
"Raoul Dufy",1953,"Abstract Expressionism"
"Max Ernst",1976,"Pop Art/Minimalism"
"David Octavius Hill",1870,"Realism/Impressionism"
"Martin Kippenberger",1997,"Postmodernism/Y2K Resurgence"
"Joan Mitchell",1992,"Postmodernism/Y2K Resurgence"
"Louise Bourgeois",2010,"Contemporary Art"
"Alexander Brook",1980,"Postmodernism/Y2K Resurgence"
"Alfred Kubin",1959,"Abstract Expressionism"
"Helen Frankenthaler",2011,"Contemporary Art"
"Raoul Dufy",1953,"Abstract Expressionism"
"Hans Poelzig",1936,"Dada/Surrealism"
"Corita Kent (Sister Mary Corita)",1986,"Postmodernism/Y2K Resurgence"
"Roberto Matta",2002,"Contemporary Art"
"Aaron Siskind",1991,"Postmodernism/Y2K Resurgence"
"Will Burtin",1972,"Pop Art/Minimalism"
"Bruno Mathsson",1988,"Postmodernism/Y2K Resurgence"
"Charles Smith",1987,"Postmodernism/Y2K Resurgence"
"Ludwig Meidner",1966,"Pop Art/Minimalism"
"Bruce Conner",2008,"Contemporary Art"
"Sidney Lumet",2011,"Contemporary Art"
"Darius Kinsey",1945,"Abstract Expressionism"
"Pierre Bonnard",1947,"Abstract Expressionism"
"Odilon Redon",1916,"Cubism/Futurism"
"Erich Heckel",1970,"Pop Art/Minimalism"
"Eugène Atget",1927,"Dada/Surrealism"
"Roy Lichtenstein",1997,"Postmodernism/Y2K Resurgence"
"Lauretta Vinciarelli",2012,"Contemporary Art"
"Louise Bourgeois",2010,"Contemporary Art"
"E. McKnight Kauffer",1954,"Abstract Expressionism"
"Richard Benson",2017,"Contemporary Art"
"Ward Bennett",2003,"Contemporary Art"
"Jan Groover",2012,"Contemporary Art"
"Frédéric Bruly Bouabré",2014,"Contemporary Art"
"Hagiwara Hideo",2007,"Contemporary Art"
"Eugène Atget",1927,"Dada/Surrealism"
"Marc Chagall",1985,"Postmodernism/Y2K Resurgence"
"Natalia Goncharova",1962,"Pop Art/Minimalism"
"Piet Mondrian",1944,"Abstract Expressionism"
"Joan Mitchell",1992,"Postmodernism/Y2K Resurgence"
"Channa Horwitz",2013,"Contemporary Art"
