"Var1","Freq"
"Afghanistan",1
"Albania",21
"Algeria",3
"Argentina",864
"Australia",253
"Austria",881
"Azerbaijan",2
"Bahamas",3
"Bangladesh",2
"Belgium",1463
"Benin",3
"Bolivia",4
"Bosnia and Herzegovina",19
"Brazil",836
"Bulgaria",12
"Burkina Faso",26
"Cameroon",16
"Canada",785
"Chile",603
"China",319
"Colombia",748
"Congo",23
"Costa Rica",64
"Croatia",201
"Cuba",208
"Czechia",765
"Denmark",493
"Ecuador",7
"Egypt",75
"El Salvador",3
"Estonia",2
"Ethiopia",6
"Finland",220
"France",22788
"Georgia",49
"Germany",9522
"Ghana",8
"Greece",47
"Guatemala",73
"Haiti",21
"Hungary",157
"Iceland",31
"India",214
"Iran",18
"Iraq",14
"Ireland",26
"Israel",344
"Italy",2772
"Ivory Coast",482
"Japan",2427
"Kenya",13
"Kuwait",1
"Latvia",59
"Lebanon",54
"Lithuania",20
"Luxembourg",43
"Malaysia",5
"Mali",22
"Mexico",1332
"Morocco",17
"Mozambique",4
"Namibia",2
"Netherlands",1592
"New Zealand",8
"Nicaragua",2
"Nigeria",45
"North Macedonia",9
"Norway",181
"Pakistan",50
"Palestinian territories",3
"Panama",4
"Paraguay",2
"Peru",114
"Philippines",2
"Poland",559
"Portugal",144
"Puerto Rico",19
"Romania",70
"Russia",2136
"Scotland",54
"Senegal",2
"Serbia",174
"Sierra Leone",1
"Singapore",2
"Slovakia",10
"Slovenia",53
"South Africa",400
"South Korea",91
"Spain",3131
"Sudan",62
"Sweden",298
"Switzerland",2112
"Taiwan",4
"Tanzania",1
"Thailand",25
"Tunisia",13
"Turkey",49
"Uganda",1
"Ukraine",74
"United Arab Emirates",6
"United Kingdom",5659
"United States of America",58427
"Uruguay",89
"Venezuela",496
"Vietnam",1
"Wales",3
"Zimbabwe",15
